iter	Passed	Remaining
897	3457	392
898	3461	388
899	3465	385
900	3469	381
901	3473	377
902	3477	373
903	3482	369
904	3486	365
905	3490	362
906	3494	358
907	3497	354
908	3501	350
909	3505	346
910	3509	342
911	3513	338
912	3517	335
913	3522	331
914	3526	327
915	3529	323
916	3532	319
917	3537	315
918	3541	312
919	3544	308
920	3547	304
921	3552	300
922	3555	296
923	3559	292
924	3562	288
925	3567	285
926	3570	281
927	3575	277
928	3579	273
929	3583	269
930	3587	265
931	3591	262
932	3595	258
933	3600	254
934	3604	250
935	3607	246
936	3611	242
937	3616	239
938	3619	235
939	3623	231
940	3627	227
941	3631	223
942	3635	219
943	3639	215
944	3643	212
945	3647	208
946	3651	204
947	3655	200
948	3658	196
949	3662	192
950	3666	188
951	3671	185
952	3675	181
953	3680	177
954	3683	173
955	3687	169
956	3691	165
957	3695	162
958	3698	158
959	3702	154
960	3706	150
961	3709	146
962	3713	142
963	3717	138
964	3721	134
965	3724	131
966	3729	127
967	3733	123
968	3736	119
969	3740	115
970	3745	111
971	3748	107
972	3752	104
973	3756	100
974	3761	96
975	3765	92
976	3769	88
977	3773	84
978	3777	81
979	3781	77
980	3785	73
981	3789	69
982	3793	65
983	3797	61
984	3801	57
985	3804	54
986	3810	50
987	3813	46
988	3817	42
989	3820	38
990	3825	34
991	3829	30
992	3832	27
993	3836	23
994	3841	19
995	3844	15
996	3848	11
997	3852	7
998	3858	3
999	3863	0
